mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10294156074523926,0.007945715530456943,0.007451772689819336,0.009266535079840451,5,0.7,1.0,0.01,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.855595667870036,0.9025270758122743,0.8876811594202898,0.8985507246376812,0.8804347826086957,0.8849578820697953,0.016634038768809898,68
0.10237326622009277,0.00444226035776283,0.0013673782348632812,0.0027347564697265624,5,0.7,0.8,0.01,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.8628158844765343,0.8916967509025271,0.8804347826086957,0.9166666666666666,0.8659420289855072,0.8835112227279861,0.01955875462383806,69
0.10484023094177246,0.009326006047884292,0.008067655563354491,0.007809120617651482,5,0.9,1.0,0.01,"{'max_depth': 5, 'max_features': 0.9, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.851985559566787,0.9025270758122743,0.8768115942028986,0.9021739130434783,0.8768115942028986,0.8820619473656673,0.018884036461825616,70
0.10287160873413086,0.008647067737137628,0.0069125652313232425,0.006281293178394077,5,0.8,0.9,0.01,"{'max_depth': 5, 'max_features': 0.8, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.8592057761732852,0.8989169675090253,0.8731884057971014,0.9057971014492754,0.8731884057971014,0.8820593313451578,0.01747760424486957,71
0.10112347602844238,0.009115381033365882,0.005457401275634766,0.005878798779853656,5,0.8,0.7,0.01,"{'max_depth': 5, 'max_features': 0.8, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.855595667870036,0.8916967509025271,0.8768115942028986,0.9094202898550725,0.8731884057971014,0.8813425417255271,0.018141061265702654,72
0.09935173988342286,0.0010143003768429768,0.005595254898071289,0.006460016431021827,5,0.8,0.8,0.01,"{'max_depth': 5, 'max_features': 0.8, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.851985559566787,0.8953068592057761,0.8768115942028986,0.9094202898550725,0.8695652173913043,0.8806179040443677,0.020009017263551313,73
0.11185617446899414,0.007568539534804354,0.003072357177734375,0.0049319604732167,5,1.0,0.9,0.01,"{'max_depth': 5, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.851985559566787,0.8916967509025271,0.8840579710144928,0.8985507246376812,0.8695652173913043,0.8791712447025585,0.016659351002814557,74
0.10979094505310058,0.008903925838119291,0.004467821121215821,0.002421354729032934,5,0.9,0.9,0.01,"{'max_depth': 5, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.8447653429602888,0.9025270758122743,0.8913043478260869,0.8985507246376812,0.8586956521739131,0.8791686286820489,0.023114009650718696,75
0.11421127319335937,0.007724811794273337,0.0026000499725341796,0.002209293485161837,5,0.9,0.8,0.01,"{'max_depth': 5, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.851985559566787,0.8808664259927798,0.8913043478260869,0.8985507246376812,0.8695652173913043,0.8784544550829277,0.016458544126261774,76
0.10354366302490234,0.008072135425850861,0.0029456615447998047,0.003069044587032559,5,0.7,0.9,0.03,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.8483754512635379,0.8953068592057761,0.8768115942028986,0.8985507246376812,0.8731884057971014,0.878446607021399,0.018016880998083493,77
0.11103472709655762,0.008621665973431102,0.0032027244567871095,0.0026281285168191387,5,0.9,0.7,0.01,"{'max_depth': 5, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.855595667870036,0.8916967509025271,0.8840579710144928,0.8985507246376812,0.8623188405797102,0.8784439910008894,0.016694307413858363,78
